f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
121850.3497,(136.3225903614168+130.264534931985j),(185.563509963599+177.2903536314762j),(242.3918113010392+231.54817879498353j),(306.8147403065331+293.0378081049334j),(378.84159042204067+361.7572847704344j),(458.48395986868286+437.70539993711077j),(545.7560087695865+520.8806795878166j),(640.6747177165016+611.2813575896396j),(743.2601473171985+708.9053464420564j),(853.5356993604926+813.7502053202688j),(971.5283797838297+925.8131050602942j),(1097.2690631588246+1045.0907897849338j),(1230.7927605616514+1171.5795347570465j)
122780.0511,(136.94281826914224+130.58670717882498j),(186.40790367251526+177.72872093713627j),(243.49503110605866+232.12056341213912j),(308.2115524071911+293.7620104641002j),(380.56689684852813+362.6510642866761j),(460.57283220067757+438.7864741424124j),(548.2437256379206+522.1667147337614j),(643.5968060861389+612.7899582180492j),(746.6524275456999+710.654043869962j),(857.4343342953432+815.756444963195j),(975.9699275337166+928.0942325387578j),(1102.2905341137862+1047.664035701422j),(1236.4316778033426+1174.4619980886005j)
123716.8461,(137.56444236245915+130.90924587222887j),(187.2542004061117+178.16758528254354j),(244.60074112251007+232.69359477864182j),(309.61152369656344+294.4870278861233j),(382.296115092086+363.5458450240086j),(462.6664549393534+439.86875269279216j),(550.7371203075803+523.454173235501j),(646.5255918156595+614.3002157998587j),(750.0525210086746+712.4046448802671j),(861.3419991588921+817.7648460364127j),(980.4218283452782+930.3777883802252j),(1107.3237937810923+1050.2399835483725j),(1242.0839390994984+1177.347440726627j)
124660.7886,(138.1874617066316+131.23215201134713j),(188.10239892677072+178.60694800535785j),(245.70893978781768+233.26727460756743j),(311.01465229537905+295.2128624867041j),(384.0292429811567+364.44162951613305j),(464.7648256968191+440.95223853976415j),(553.236190256245+524.743058444597j),(649.461072443148+615.8121340439327j),(753.460425343587+714.1571534805184j),(865.2586921551984+819.7754127367568j),(984.8840811514783+932.6637768440703j),(1112.3688420178123+1052.8186374816955j),(1247.7495458118244+1180.2358664910237j)
125611.9333,(138.8118753837941+131.5554266007913j),(188.95249801898055+179.04681045041767j),(246.81962557940827+233.84160462020918j),(312.4209363682759+295.9395163917131j),(385.7662784042382+365.33842030813435j),(466.8679421389652+442.0369346474675j),(555.740933021048+526.0333737262177j),(652.4032454961553+617.3257166763965j),(756.8761383544872+715.9115736843967j),(869.1844114218613+821.7881492763704j),(989.3566846955555+934.95220220664j),(1117.4256791530727+1055.4000016305731j),(1253.4284999574274+1183.1272791533013j)
126570.3351,(139.4376824918926+131.87907065046102j),(189.80449649322497+179.48717396934308j),(247.9327970022934+234.41658654669965j),(313.83037413124487+296.66699173659634j),(387.50721931198746+366.2362199557054j),(468.97580199427796+443.1228439926625j),(558.2513462351789+527.325122456928j),(655.3521086665281+618.8409674308997j),(760.2996579326575+717.6679095157235j),(873.1191554396405+823.8030598604162j),(993.8396386643617+937.2430686989787j),(1122.4943057652542+1057.9840801080973j),(1259.120803736264+1186.0216824609802j)
127536.0494,(140.06488214802712+132.20308517547494j),(190.65839317809787+179.92803992089506j),(249.0484525908248+234.99222212579025j),(315.24296382506463+297.3952906676308j),(389.2520636776276+367.13503102784j),(471.0884030572945+444.20996956404895j),(560.7674275861575+528.618308026695j),(658.3076597065112+620.3578900533356j),(763.7309820220294+719.4261650109988j),(877.0629226210489+825.8201487095066j),(998.3329419704634+939.5363806014282j),(1127.574722352812+1060.5708770277865j),(1264.826459644818+1188.9190801306345j)
128509.1319,(140.6934734861988+132.52747119618664j),(191.51418693544286+180.36940967022548j),(250.1665909192718+235.56851310417926j),(316.658703748797+298.1244153401977j),(391.0008095689834+368.03485610184765j),(473.2057432245905+445.2983143598014j),(563.2891749251779+529.912933832411j),(661.2698965028243+621.8764882986843j),(767.1701089432041+721.1863441980668j),(881.0157117781731+827.8394200325707j),(1002.8365944821676+941.8321421439903j),(1132.666929786015+1063.1603964808614j),(1270.545470433976+1191.8194758455334j)
129489.6389,(141.32345565867897+132.85222973803536j),(192.3718766475522+180.8112845893239j),(251.28721058748948+236.14546123726907j),(318.0775922343197+298.85436791980646j),(392.7534550946219+368.9356977666323j),(475.3278204127567+446.3878813924155j),(565.816586108491+531.2090032860708j),(664.2388169965958+623.3967659342055j),(770.6170368727363+722.9484511283147j),(884.9775217952206+829.860878043982j),(1007.3505960092012+944.1303575652548j),(1137.770929568847+1065.7526425131284j),(1276.277839131009+1194.7228732573226j)
130477.6271,(141.95482783423546+133.17736183164345j),(193.23146121815716+181.25366605697627j),(252.41031023415132+236.7230682882579j),(319.49962765826797+299.58515058144843j),(394.5099983942421+369.83755862335204j),(477.45463264450126+447.47867368313j),(568.3496590733964+532.5065198118343j),(667.2144193503759+624.918726729088j),(774.0717642528224+724.7124898506169j),(888.9483517302158+831.8845269577432j),(1011.8749464375937+946.4310311028208j),(1142.8867226486282+1068.3476192021872j),(1282.0235693677944+1197.6292759604166j)
131473.1535,(142.58758920212898+133.50286851246938j),(194.09293958280176+181.69655545815783j),(253.53588852927297+237.30133602848724j),(320.9248084531059+300.3167655086818j),(396.27043769882414+370.7404412811335j),(479.58617801315563+448.5706942639294j),(570.8883919335383+533.805486837699j),(670.1967016953254+626.4423744702747j),(777.5342896677193+726.4784644180463j),(892.9282006025089+833.9103710009404j),(1016.4096459911582+948.7341669767494j),(1148.0143110924444+1070.9453305472448j),(1287.7826642423747+1200.5386875666575j)
132476.2756,(143.22173896876015+133.82875082106696j),(194.9563106988416+182.13995418448584j),(254.66394418321318+237.88026623680778j),(322.3531330786252+301.04921489537344j),(398.03477126916846+371.6443483611289j),(481.7224546492007+449.663946179718j),(573.4327828355415+535.1059078053906j),(673.1856623848716+627.9677129450793j),(781.0046118043321+728.2463788908075j),(896.9170679414215+835.9384143764468j),(1020.9546952943213+951.039769384042j),(1153.1536965350206+1073.5457805705528j),(1293.5551280741038+1203.4511115872688j)
133487.0513,(143.85727636053056+134.1550098027501j),(195.82157354918357+182.5838636339165j),(255.79447592719086+238.4598607006813j),(323.78460005634383+301.78250094327854j),(399.80299745335844+372.54928249222274j),(483.86346079024696+450.7584324828496j),(575.9828299758924+536.4077861689613j),(676.1812998583166+629.4947459499308j),(784.4827294891286+730.0162373321252j),(900.9149533063921+837.9686612944115j),(1025.5100945473764+953.3478425529308j),(1158.3048813582072+1076.1489732357322j),(1299.3409651883421+1206.3665515108885j)
134505.5392,(144.49420062186414+134.48164650775306j),(196.6887271468318+183.02828521042585j),(256.92748254330286+239.040121214225j),(325.21920793906554+302.5166258640646j),(401.57511463484695+373.4552463146766j),(486.0091947532592+451.85415623544j),(578.5385317467284+537.7111253844868j),(679.1836126401478+631.0234772908732j),(787.9686417212984+731.7880438068623j),(904.9218562990148+840.0011159698388j),(1030.0758449209036+955.658390646747j),(1163.467867574615+1078.7549125263913j),(1305.1401797918088+1209.2850108153898j)
135531.798,(145.13251101687854+134.80866199100433j),(197.55777052950043+183.47322032426217j),(258.0629628419771+239.62104957952084j),(326.6569553363367+303.2515918771978j),(403.3511212594337+374.3622424779286j),(488.1596548949892+452.9511205113767j),(581.0998865571939+539.0159289219007j),(682.1925993767907+632.5539107792968j),(791.462347548965+733.5618023886764j),(908.9377768872346+842.0357826015472j),(1034.6519473343624+957.9714178487527j),(1168.6426583320012+1081.3636023345787j),(1310.9527772926676+1212.2064928672762j)
136565.887,(145.77220682970582+135.1360573121089j),(198.42870276195856+183.91867039167312j),(259.2009156688004+240.20264760605892j),(328.0978409043483+303.9874012107368j),(405.13101585555023+375.27027363881723j),(490.31483968923067+454.04932839124444j),(583.6668929512294+540.3222002565271j),(685.2082588656965+634.0860502305186j),(794.9638463410458+735.3375171396824j),(912.9627151596925+844.0726653863971j),(1039.2384031648644+960.2869283078608j),(1173.8292563188238+1083.9750465781303j),(1316.7787625679211+1215.1310010496315j)
137607.866,(146.41328736260152+135.4638335353933j),(199.30152293470329+184.36463683509822j),(260.341339913301+240.78491711013748j),(329.5418633436304+304.72405610129476j),(406.9147969885797+376.1793424651575j),(492.4747476714568+455.1487829648388j),(586.2395495195927+541.6299428750475j),(688.2305899597774+635.6198994698806j),(798.4731375011527+737.1151921318096j),(916.9966713097233+846.1117685212297j),(1043.8352136780281+962.6049261841963j),(1179.0276648145473+1086.5892491200261j),(1322.6181408683524+1218.0585386960797j)
138657.7951,(147.05575193979126+135.79199172965644j),(200.17623016840136+184.81112108260183j),(261.48423448990087+241.36785991597094j),(330.9890213974297+305.4615587940961j),(408.7024632752624+377.0894516341416j),(494.63937742284065+456.2494873338783j),(588.8178549996803+542.9391602682582j),(691.2595917837159+637.1554623157888j),(801.9902205132812+738.8948314420456j),(921.0396457667983+848.1530961927272j),(1048.4423806738737+964.9254155964825j),(1184.237887165912+1089.2062138080248j),(1328.4709186292644+1220.989109018613j)
139715.735,(147.69959990489414+136.12053296819232j),(201.05282361179977+185.2581245680226j),(262.6295983573466+241.95147785427665j),(332.43931387671216+306.19991154074467j),(410.4940134329553+378.0006038285188j),(496.8087276613013+457.35144460322624j),(591.401808224166+544.2498559338873j),(694.2952633512471+638.6927426091038j),(805.5150952189083+740.6764391310629j),(925.0916391999772+850.1966525743463j),(1053.0599062155775+967.2484006410532j),(1189.4599271937452+1091.8259444420669j),(1334.3371015604607+1223.9227152645585j)
140781.7469,(148.3448306209255+136.4494583288111j),(201.93130243897664+185.70564873109998j),(263.77743051888314+242.53577276213252j),(333.892739618113+306.93911660259573j),(412.28944621454593+378.912801741429j),(498.9827971458409+458.4546578891865j),(593.9914080847733+545.5620333794411j),(697.3376040157849+640.2317441775792j),(809.0477613743383+742.4600192772641j),(929.1526523849525+852.2424418383879j),(1057.6877922299213+969.5738854255634j),(1194.6937890807317+1094.4484447787327j),(1340.2166966820923+1226.8593605430824j)
141855.8923,(148.99144347436578+136.77876889350284j),(202.81166585602472+186.15369501694232j),(264.9277300057959+243.12074648411806j),(335.34929752421203+307.6791762471994j),(414.088760443547+379.82604807342307j),(501.1615847058589+459.55913031627006j),(596.5866536315114+546.8756961141409j),(700.3866131110256+641.7724708635302j),(812.5882189515376+744.2455759530214j),(933.2226863107483+854.2904681449041j),(1062.3260412982715+971.9018740010138j),(1199.9394767077192+1097.0737185897174j),(1346.1097103010115+1229.799047998662j)
142938.2332,(149.63943786877576+137.108465748842j),(203.6939130961852+186.60226487626215j),(266.08049588918914+243.7064008713343j),(336.80898654576276+308.4200927498814j),(415.8919550057881+380.7403455332635j),(503.3450892970816+460.664865012732j),(599.1875439345121+548.1908476596166j),(703.4422901924646+643.3149265041563j),(816.1364682799224+746.0331132099816j),(937.3017420727701+856.3407356516726j),(1066.9746558566067+974.2323704298608j),(1205.196995179077+1099.7017695272139j),(1352.0161497465551+1232.7417806593098j)
144028.8323,(150.2888132311008+137.4385499854365j),(204.5780434245223+187.05135976496211j),(267.23572728339104+244.292737781034j),(338.2718056802494+309.1618683934659j),(417.6990288612156+381.655696836156j),(505.5333099231424+461.77186511679565j),(601.7940782566479+549.5074915356149j),(706.50463485873+644.8591149460178j),(819.6925096120822+747.8226351170679j),(941.3898211098357+858.3932484915225j),(1071.6336388449063+976.5653787274318j),(1210.4663489245931+1102.3326012889358j),(1357.936022785896+1235.687561482704j)
145127.7525,(150.93956901061512+137.76902269799461j),(205.4640561305078+187.5009811446704j),(268.39342334210875+244.8797590767374j),(339.7377539768752+309.9045054678586j),(419.5099810193743+382.5721047062315j),(507.7262456891198+462.88013377167306j),(604.406255931993+550.8256312689413j),(709.5736468917675+646.4050400326228j),(823.2563434100091+749.6141457353453j),(945.486924992367+860.4480107909699j),(1076.3029934474903+978.9009028844956j),(1215.7475433498519+1104.966217471534j),(1363.8693373899519+1238.6363933764774j)
146235.0574,(151.59170467513127+138.09988498558573j),(206.35195053707054+187.95113048194972j),(269.5535832507801+245.4674666290023j),(341.2068305325517+310.6480062702068j),(421.32481056905266+383.48957187350584j),(509.92389575728055+463.9896741294047j),(607.0240763573012+552.1452703953018j),(712.6493262017689+647.9527056084544j),(826.8279703645792+751.4076491144691j),(949.5930555527495+862.5050266561564j),(1080.9827226530679+981.2389469070137j),(1221.040583786275+1107.6026216625478j),(1369.8161013241975+1241.588279238811j)
147350.8108,(152.24521971598904+138.431137951115j),(207.24172599576255+188.4018092486006j),(270.7162062510745+246.0558623129002j),(342.6790345138452+311.39237310295755j),(423.14351665896794+384.4081010754701j),(512.1262593932141+465.1004893465401j),(609.6475390678478+553.4664124515209j),(715.7316727743714+649.5021155237459j),(830.4073912438855+753.2031493068489j),(953.7082145485379+864.5643002061859j),(1085.6728303753093+983.5795147100687j),(1226.3454758980042+1110.2418174031482j),(1375.7763233768935+1244.5432218378241j)
148475.0772,(152.9001136476376+138.76278270139883j),(208.1333818905607+188.8530189212501j),(271.88129161101983+246.64494801074963j),(344.15436512875215+312.137608275914j),(424.9660985262318+385.3276950542101j),(514.3333359478584+466.21258258525876j),(612.2766437390453+554.7890609749378j),(718.8206868568141+651.053273616373j),(833.9946070596268+755.0006503513378j),(957.8324042605104+866.6258355139939j),(1090.373320233453+985.9226102325815j),(1231.6622258385132+1112.88380817087j),(1381.750012605385+1247.501223883073j)
149607.9216,(153.5563860036316+139.09482034737522j),(209.02691763522154+189.30476098152954j),(273.0488386436555+247.2347256104584j),(345.63282162500155+312.883714106779j),(426.7925554487856+386.24835656066625j),(516.5451248807892+467.32595701096574j),(614.9113901286714+556.1132195081033j),(721.916368647063+652.6061837414181j),(837.5896189215277+756.800156285789j),(961.9656271133433+868.6896366412997j),(1095.084196290149+988.2682373658586j),(1236.9908398442976+1115.5285974182023j),(1387.7371780794601+1250.4622880470297j)
150749.4095,(154.21403634279972+139.4272520035765j),(209.92233267448367+189.75703691588194j),(274.2188467064593+247.82519700509658j),(347.11440333518215+313.6306929163009j),(428.6228867788468+387.17008835161494j),(518.7616256874239+468.4406157993251j),(617.5517780838368+557.4388915987206j),(725.0187186454204+654.1608497360576j),(841.1924281794445+758.6016711339419j),(966.1078854888865+870.7557076586431j),(1099.8054629508536+990.6163999613648j),(1242.331324669947+1118.1761885270162j),(1393.7378298084222+1253.4264168731827j)
151899.6068,(154.87306424482472+139.7600787884528j),(210.8196264818202+190.20984821574706j),(275.3913151936901+248.41636409390446j),(348.59910962362+314.3785470334263j),(430.45709195872564+388.0928931874603j),(520.98283797155+469.556562128754j),(620.1978075673906+558.7660807964004j),(728.127737415044+655.7172754431833j),(844.8030362546143+760.4051989204023j),(970.2591823881878+872.8240525758508j),(1104.5371246607692+992.9671018601528j),(1247.6836872808135+1120.8265848386266j),(1399.7519775566702+1256.3936128939931j)
153058.58,(155.53346931252744+140.09330182409286j),(211.71879856830742+190.6631963765641j),(276.5662435535041+249.0082287802816j),(350.0869399176351+315.12727879215794j),(432.2951704901104+389.01677383535605j),(523.2087615042308+470.67379917399677j),(622.8494786782096+560.0947906498968j),(731.2434256889901+657.2754646996966j),(848.421444833525+762.2107436512047j),(974.4195206336428+874.8946754237425j),(1109.2791863954153+995.3203468422478j),(1253.0479347315952+1123.4797896670157j),(1405.7796319811432+1259.3638785109933j)
