Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
6248277.62,1446.32+607.608j,1919.65+754.377j,2491.07+865.541j,3158.11+899.406j,3890.6+859.188j,4654.49+837.262j,5656.93656228361+12.090437796479222j,6297.96-1.0288j,7080.28-450.512j,7823.25-1077.34j,8413.6-1879.92j,9127.27-2510.75j,9028.7-3767.38j,9030.25-4696.97j,9389.72-5376.71j,8561.03-6287.05j,8415.59-6917.79j,7585.9381878361-7495.085394185806j,7209.89-7780.73j,7234.91-8238.21j,6763.03-8467.94j,6184.76-8544.96j,5994.66-8781.55j,5993.85-9113.74j,5426.57-9003.38j,5060.37-8954.2j,4625.58-8780.43j,4592.3-8985.15j,4470.99-9080.42j,4203.24-8976.68j,3716.76-8524.09j,3556.15-8468.38j,3740.88-8903.0j,3443.61-8598.65j,3465.13-8802.86j,3355.73-8759.65j,3790.86-9529.24j,3303.3-8950.76j,3243.52-8971.08j
6295951.12,1450.89+607.114j,1925.83+753.134j,2499.23+862.599j,3168.33+893.252j,3902.47+848.49j,4667.75+822.09j,5663.917565896688-17.00993127410821j,6305.52-33.938j,7082.83-490.998j,7817.46-1125.32j,8394.05-1938.42j,9097.62-2573.99j,8977.33-3824.09j,8964.54-4745.88j,9313.85-5423.03j,8475.31-6312.64j,8324.08-6933.25j,7497.764408882635-7491.765882856272j,7119.4-7768.29j,7142.24-8219.77j,6673.77-8440.25j,6101.37-8509.03j,5913.37-8740.43j,5912.22-9068.42j,5352.37-8953.18j,4991.29-8900.84j,4562.78-8724.91j,4530.15-8927.06j,4410.76-9020.22j,4147.25-8915.54j,3668.12-8464.06j,3510.13-8407.88j,3692.45-8839.4j,3399.71-8536.19j,3421.19-8738.53j,3313.63-8695.19j,3743.78-9461.54j,3262.47-8884.27j,3203.75-8904.08j
6343988.362,1455.47+606.595j,1932.04+751.851j,2507.41+859.586j,3178.56+886.977j,3914.3+837.608j,4680.93+806.677j,5670.5531898828785-46.382760341388206j,6312.7-67.1521j,7084.81-531.747j,7810.93-1173.44j,8373.41-1996.75j,9066.82-2636.88j,8924.98-3879.93j,8898.1-4793.62j,9237.38-5468.0j,8389.55-6336.82j,8232.81-6947.31j,7410.13372004789-7487.358418956444j,7029.67-7754.84j,7050.45-8200.37j,6585.47-8411.8j,6018.98-8472.57j,5833.11-8698.88j,5831.66-9022.75j,5279.2-8902.81j,4923.19-8847.43j,4500.9-8669.46j,4468.9-8869.07j,4351.42-8960.17j,4092.1-8854.62j,3620.2-8404.31j,3464.79-8347.69j,3644.73-8776.12j,3356.45-8474.08j,3377.89-8674.55j,3272.15-8631.12j,3697.36-9394.2j,3222.23-8818.2j,3164.56-8837.5j
6392392.122,1460.07+606.053j,1938.26+750.527j,2515.61+856.502j,3188.8+880.58j,3926.11+826.541j,4694.04+791.024j,5676.835526353998-76.02440086847707j,6319.46-100.667j,7086.23-572.749j,7803.64-1221.68j,8351.71-2054.91j,9034.87-2699.37j,8871.68-3934.88j,8830.98-4840.2j,9160.35-5511.63j,8303.78-6359.61j,8141.79-6959.98j,7323.062394148693-7481.8843787081405j,6940.71-7740.39j,6959.52-8180.04j,6498.15-8382.62j,5937.61-8435.59j,5753.88-8656.93j,5752.16-8976.75j,5207.05-8852.28j,4856.06-8793.98j,4439.92-8614.06j,4408.56-8811.19j,4292.96-8900.28j,4037.76-8793.9j,3572.99-8344.83j,3420.13-8287.8j,3597.72-8713.17j,3313.84-8412.32j,3335.22-8610.95j,3231.27-8567.43j,3651.6-9327.21j,3182.57-8752.54j,3125.93-8771.35j
6441165.196,1464.69+605.486j,1944.51+749.162j,2523.83+853.346j,3199.05+874.059j,3937.89+815.287j,4707.07+775.128j,5682.756663482296-105.93096630587127j,6325.81-134.477j,7087.06-613.995j,7794.62-1275.31j,8328.97-2112.86j,9001.77-2761.46j,8817.46-3988.92j,8763.2-4885.6j,9082.79-5553.9j,8218.04-6381.02j,8051.05-6971.29j,7236.565952515442-7475.365278126749j,6852.56-7724.95j,6869.48-8158.81j,6411.8-8352.73j,5857.24-8398.11j,5675.68-8614.61j,5673.71-8930.42j,5135.9-8801.61j,4789.89-8740.49j,4379.82-8558.74j,4349.09-8753.42j,4235.36-8840.56j,3984.22-8733.41j,3526.48-8285.63j,3376.11-8228.22j,3551.4-8650.53j,3271.84-8350.91j,3293.17-8547.71j,3190.98-8504.13j,3606.48-9260.58j,3143.48-8687.29j,3087.85-8705.63j
6490310.402,1469.33+604.894j,1950.78+747.755j,2532.08+850.116j,3209.3+867.412j,3949.63+803.844j,4720.02+758.987j,5688.308692760663-136.09832846431453j,6331.74-168.579j,7087.31-655.476j,7784.68-1329.02j,8305.17-2170.6j,8967.55-2823.09j,8762.33-4042.03j,8694.79-4929.81j,9004.75-5594.76j,8132.35-6401.06j,7960.63-6981.26j,7150.659171824719-7467.8227468516j,6765.22-7708.56j,6780.33-8136.7j,6326.42-8322.16j,5777.88-8360.17j,5598.49-8571.93j,5596.31-8883.81j,5065.74-8750.8j,4724.67-8686.98j,4320.61-8503.51j,4290.51-8695.78j,4178.63-8781.02j,3931.48-8673.14j,3480.65-8226.71j,3332.75-8168.95j,3505.76-8588.22j,3230.46-8289.84j,3251.74-8484.84j,3151.28-8441.2j,3562.0-9194.31j,3104.96-8622.46j,3050.31-8640.33j
6539830.579,1473.98+604.276j,1957.07+746.307j,2540.35+846.812j,3219.56+860.639j,3961.34+792.211j,4732.88+742.6j,5693.483716528117-166.522114033006j,6337.23-202.966j,7086.95-697.182j,7773.8-1382.77j,8280.33-2228.09j,8932.2-2884.26j,8706.31-4094.11j,8625.79-4972.81j,8926.26-5634.22j,8046.76-6419.74j,7870.55-6989.9j,7065.356092798598-7459.278502775556j,6678.67-7691.25j,6692.07-8113.74j,6242.02-8290.94j,5699.51-8321.78j,5522.31-8528.9j,5519.95-8836.91j,4996.57-8699.89j,4660.38-8633.47j,4262.25-8448.36j,4232.78-8638.27j,4122.74-8721.66j,3879.51-8613.11j,3435.5-8168.08j,3290.03-8110.0j,3460.79-8526.24j,3189.69-8229.12j,3210.92-8422.34j,3112.16-8378.67j,3518.15-9128.4j,3066.98-8558.03j,3013.32-8575.46j
6589728.588,1478.65+603.634j,1963.37+744.815j,2548.64+843.432j,3229.82+853.736j,3973.01+780.385j,4745.66+725.965j,5698.273855754525-197.19770135398193j,6342.29-237.633j,7085.99-739.102j,7761.98-1436.55j,8254.44-2285.3j,8895.69-2944.86j,8649.43-4145.22j,8556.23-5014.61j,8847.35-5672.3j,7961.27-6437.07j,7780.83-6997.24j,6980.670029970863-7449.754327528884j,6592.94-7673.06j,6604.71-8089.96j,6158.59-8259.08j,5622.13-8282.96j,5447.13-8485.56j,5444.61-8789.76j,4928.37-8648.88j,4597.02-8579.96j,4204.76-8393.32j,4175.9-8580.91j,4067.68-8662.49j,3828.32-8553.31j,3391.02-8109.74j,3247.93-8051.35j,3416.49-8464.59j,3149.51-8168.76j,3170.69-8360.22j,3073.6-8316.51j,3474.91-9062.85j,3029.56-8494.02j,2976.85-8511.0j
6640007.312,1483.33+602.965j,1969.71+743.28j,2556.94+839.976j,3240.09+846.704j,3984.63+768.366j,4758.33+709.08j,5702.671258082438-228.1202174059747j,6346.89-272.575j,7084.4-781.225j,7749.21-1490.34j,8227.51-2342.21j,8858.07-3004.93j,8591.74-4195.33j,8486.13-5055.19j,8768.07-5709.02j,7875.94-6453.08j,7691.49-7003.29j,6896.613581037642-7439.272042739834j,6508.03-7653.99j,6518.25-8065.38j,6076.12-8226.61j,5545.74-8243.73j,5372.94-8441.92j,5370.29-8742.37j,4861.13-8597.78j,4534.57-8526.46j,4148.1-8338.38j,4119.86-8523.69j,4013.42-8603.51j,3777.88-8493.76j,3347.19-8051.68j,3206.46-7993.03j,3372.84-8403.26j,3109.91-8108.75j,3131.04-8298.46j,3035.6-8254.74j,3432.28-8997.66j,2992.67-8430.43j,2940.9-8446.97j
6690669.656,1488.03+602.27j,1976.06+741.7j,2565.27+836.443j,3250.36+839.54j,3996.21+756.15j,4770.91+691.945j,5706.6681061195195-259.28453505572713j,6351.03-307.785j,7082.2-823.542j,7735.49-1544.11j,8199.54-2398.8j,8819.37-3064.44j,8533.24-4244.44j,8415.54-5094.54j,8688.44-5744.37j,7790.77-6467.77j,7602.57-7008.07j,6813.198637754078-7427.85348717636j,6423.93-7634.09j,6432.71-8040.03j,5994.63-8193.56j,5470.32-8204.12j,5299.74-8397.99j,5296.98-8694.75j,4794.84-8546.61j,4473.02-8473.0j,4092.27-8283.56j,4064.64-8466.63j,3959.98-8544.73j,3728.18-8434.45j,3304.01-7993.92j,3165.59-7935.01j,3329.83-8342.28j,3070.9-8049.08j,3091.97-8237.07j,2998.15-8193.35j,3390.25-8932.84j,2956.3-8367.24j,2905.46-8383.36j
6741718.546,1492.75+601.547j,1982.43+740.076j,2573.62+832.831j,3260.63+832.242j,4007.75+743.737j,4783.38+674.557j,5710.256625971693-290.6852706081413j,6354.7-343.258j,7079.35-866.04j,7720.82-1597.85j,8170.55-2455.03j,8779.59-3123.36j,8473.99-4292.52j,8344.48-5132.66j,8608.5-5778.34j,7705.81-6481.15j,7514.09-7011.61j,6730.436397104615-7415.520494720824j,6340.67-7613.37j,6348.07-8013.94j,5914.11-8159.94j,5395.88-8164.14j,5227.52-8353.8j,5224.68-8646.93j,4729.49-8495.39j,4412.36-8419.57j,4037.27-8228.87j,4010.26-8409.74j,3907.32-8486.16j,3679.22-8375.39j,3261.47-7936.45j,3125.32-7877.32j,3287.44-8281.62j,3032.45-7989.77j,3053.47-8176.05j,2961.24-8132.35j,3348.81-8868.38j,2920.46-8304.46j,2870.53-8320.17j
