Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
4936605.103,864.357+440.275j,1271.14+626.362j,1787.58+812.705j,2378.18+1016.52j,3085.72+1178.86j,3911.29+1259.76j,4794.69+1402.41j,5820.96+1274.38j,6888.73+1021.94j,8009.76+942.323j,9177.31+368.377j,10243.8-295.787j,11240.8-1192.43j,11940.3-2541.63j,13025.6-3765.77j,12962.5-4992.76j,13522.4-6019.21j,12107.6-7724.21j,11862.9-8656.76j,11356.7-9509.64j,10221.5-10072.4j,10272.6-10727.8j,10417.1-11385.3j
4974270.721,866.835+440.716j,1274.86+626.818j,1793.07+812.663j,2385.7+1015.77j,3095.77+1176.31j,3924.16+1253.69j,4810.32+1393.23j,5838.69+1257.87j,6906.94+996.413j,8029.04+909.746j,9192.49+323.386j,10252.1-352.405j,11237.6-1260.43j,11916.4-2618.33j,12980.5-3854.11j,12896.2-5075.96j,13439.7-6100.82j,12000.5-7774.36j,11745.4-8692.7j,11232.4-9527.96j,10098.7-10068.1j,10145.8-10715.0j,10285.9-11365.4j
5012223.724,869.32+441.153j,1278.6+627.265j,1798.59+812.601j,2393.23+1014.99j,3105.86+1173.68j,3937.06+1247.5j,4825.97+1383.87j,5856.37+1241.08j,6924.98+970.511j,8048.07+876.725j,9207.19+277.911j,10259.7-409.472j,11233.3-1328.73j,11891.3-2694.92j,12933.8-3941.88j,12828.3-5158.1j,13355.6-6181.01j,11893.0-7822.68j,11627.8-8726.72j,11108.5-9544.42j,9976.65-10062.2j,10019.8-10700.8j,10155.9-11344.1j
5050466.302,871.813+441.586j,1282.35+627.702j,1804.12+812.516j,2400.8+1014.16j,3115.97+1170.98j,3949.98+1241.18j,4841.63+1374.33j,5874.0+1224.0j,6942.85+944.234j,8066.84+843.26j,9221.38+231.955j,10266.5-466.976j,11228.0-1397.3j,11864.9-2771.39j,12885.5-4029.04j,12759.0-5239.12j,13270.3-6259.76j,11785.0-7869.17j,11510.2-8758.83j,10985.0-9559.04j,9855.48-10054.8j,9894.95-10685.2j,10027.0-11321.4j
5089000.667,874.314+442.014j,1286.12+628.132j,1809.68+812.41j,2408.39+1013.3j,3126.12+1168.2j,3962.93+1234.72j,4857.31+1364.59j,5891.58+1206.64j,6960.55+917.58j,8085.33+809.35j,9235.06+185.523j,10272.6-524.908j,11221.7-1466.13j,11837.2-2847.7j,12835.7-4115.56j,12688.4-5319.01j,13183.6-6337.04j,11676.6-7913.82j,11392.6-8789.02j,10862.0-9571.86j,9735.16-10045.9j,9771.08-10668.0j,9899.22-11297.2j
5127829.043,876.823+442.438j,1289.89+628.552j,1815.25+812.281j,2416.02+1012.39j,3136.31+1165.35j,3975.9+1228.12j,4873.01+1354.67j,5909.1+1189.0j,6978.06+890.547j,8103.55+774.995j,9248.22+138.617j,10277.8-583.257j,11214.2-1535.19j,11808.2-2923.83j,12784.3-4201.38j,12616.3-5397.73j,13095.7-6412.82j,11567.9-7956.64j,11275.0-8817.31j,10739.4-9582.89j,9615.73-10035.5j,9648.26-10649.6j,9772.66-11271.8j
5166953.674,879.34+442.858j,1293.68+628.962j,1820.85+812.129j,2423.66+1011.45j,3146.52+1162.42j,3988.9+1221.39j,4888.71+1344.56j,5926.56+1171.06j,6995.38+863.134j,8121.47+740.194j,9260.84+91.2444j,10282.3-642.01j,11205.8-1604.47j,11777.9-2999.74j,12731.4-4286.49j,12542.9-5475.16j,13006.6-6487.07j,11458.9-7997.63j,11157.6-8843.74j,10617.4-9592.17j,9497.2-10023.7j,9526.49-10629.7j,9647.29-11245.0j
5206376.821,881.865+443.273j,1297.48+629.364j,1826.46+811.954j,2431.34+1010.46j,3156.77+1159.41j,4001.92+1214.52j,4904.43+1334.25j,5943.95+1152.83j,7012.5+835.339j,8139.1+704.946j,9272.91+43.4089j,10286.0-701.156j,11196.2-1673.95j,11746.3-3075.4j,12676.9-4370.83j,12468.2-5551.36j,12916.4-6559.77j,11349.6-8036.81j,11040.3-8868.33j,10495.8-9599.72j,9379.59-10010.5j,9405.79-10608.5j,9523.12-11217.0j
5246100.761,884.398+443.683j,1301.29+629.756j,1832.1+811.756j,2439.04+1009.44j,3167.05+1156.33j,4014.96+1207.5j,4920.15+1323.75j,5961.27+1134.3j,7029.41+807.16j,8156.41+669.253j,9284.41-4.8839j,10288.8-760.682j,11196.2-1673.95j,11713.4-3150.8j,12621.0-4454.37j,12392.2-5626.3j,12825.1-6630.89j,11240.2-8074.17j,10923.2-8891.11j,10374.9-9605.57j,9262.92-9995.88j,9286.18-10586.1j,9400.17-11187.8j
5286127.789,886.94+444.089j,1305.12+630.139j,1837.75+811.534j,2446.77+1008.37j,3177.35+1153.17j,4028.02+1200.35j,4935.87+1313.05j,5978.51+1115.47j,7046.11+778.598j,8173.4+633.113j,9295.33-53.628j,10290.8-820.575j,11185.5-1743.73j,11679.2-3225.88j,12563.5-4537.07j,12315.0-5699.94j,12732.6-6700.42j,11130.5-8109.73j,10806.3-8912.08j,10254.5-9609.74j,9147.2-9979.97j,9167.66-10562.3j,9278.46-11157.3j
