f_MHz,mu_real,mu_imag
0.303354456,11232.81744,14451.29089
0.305669009,11171.90508,14393.00358
0.308001222,11111.3025,14334.86376
0.310351229,11051.00835,14276.87199
0.312719166,10991.02125,14219.02878
0.31510517,10931.33984,14161.33467
0.31750938,10871.96275,14103.79017
0.319931933,10812.88863,14046.39578
0.322372969,10754.11613,13989.15198
0.324832631,10695.64389,13932.05926
0.327311059,10637.47056,13875.11808
0.329808397,10579.59482,13818.3289
0.33232479,10522.0153,13761.69216
0.334860383,10464.73069,13705.20831
0.337415321,10407.73964,13648.87776
0.339989754,10351.04084,13592.70093
0.342583829,10294.63295,13536.67823
0.345197697,10238.51465,13480.81004
0.347831508,10182.68464,13425.09675
0.350485414,10127.14159,13369.53873
0.35315957,10071.8842,13314.13635
0.355854129,10016.91115,13258.88995
0.358569247,9962.221163,13203.79989
0.361305081,9907.812924,13148.86649
0.364061789,9853.685145,13094.09007
0.366839531,9799.836535,13039.47096
0.369638466,9746.265809,12985.00944
0.372458757,9692.971684,12930.70583
0.375300566,9639.952885,12876.5604
0.378164058,9587.208135,12822.57342
0.381049397,9534.736166,12768.74517
0.383956752,9482.535711,12715.0759
0.386886289,9430.605508,12661.56586
0.389838179,9378.944301,12608.21528
0.39281259,9327.550833,12555.02439
0.395809696,9276.423857,12501.99343
0.39882967,9225.562126,12449.12259
0.401872686,9174.964397,12396.41208
0.404938919,9124.629434,12343.86209
0.408028547,9074.556003,12291.47282
0.411141749,9024.742874,12239.24443
0.414278704,8975.188822,12187.1771
0.417439594,8925.892624,12135.27098
0.420624601,8876.853065,12083.52623
0.423833909,8828.06893,12031.94299
0.427067703,8779.539011,11980.5214
0.430326171,8731.262102,11929.26158
0.433609501,8683.237003,11878.16366
0.436917881,8635.462517,11827.22774
0.440251505,8587.937451,11776.45393
0.443610563,8540.660616,11725.84232
0.446995251,8493.63083,11675.393
0.450405763,8446.846911,11625.10605
0.453842298,8400.307683,11574.98156
0.457305052,8354.011974,11525.01957
0.460794227,8307.958618,11475.22014
0.464310023,8262.14645,11425.58334
0.467852645,8216.574311,11376.1092
0.471422296,8171.241046,11326.79776
0.475019184,8126.145503,11277.64905
0.478643515,8081.286537,11228.66308
0.482295499,8036.663004,11179.83988
0.485975348,7992.273767,11131.17946
0.489683273,7948.11769,11082.6818
0.493419489,7904.193644,11034.34691
0.497184212,7860.500502,10986.17478
0.500977659,7817.037144,10938.16539
0.50480005,7773.802452,10890.31871
0.508651605,7730.795312,10842.63471
0.512532547,7688.014616,10795.11335
0.5164431,7645.459258,10747.75459
0.52038349,7603.128138,10700.55837
0.524353944,7561.020158,10653.52464
0.528354693,7519.134228,10606.65334
0.532385966,7477.469259,10559.94439
0.536447998,7436.024166,10513.39773
0.540541023,7394.797871,10467.01326
0.544665277,7353.789297,10420.79091
0.548820998,7312.997373,10374.73058
0.553008427,7272.421032,10328.83216
0.557227805,7232.059211,10283.09557
0.561479377,7191.910851,10237.52068
0.565763387,7151.974897,10192.10738
0.570080084,7112.250299,10146.85555
0.574429717,7072.736011,10101.76507
0.578812537,7033.43099,10056.8358
0.583228797,6994.334198,10012.0676
0.587678752,6955.444603,9967.460338
0.592162661,6916.761173,9923.01386
0.59668078,6878.282883,9878.728015
0.601233373,6840.008713,9834.602646
0.605820701,6801.937644,9790.63759
0.610443029,6764.068665,9746.832679
0.615100626,6726.400765,9703.187742
0.619793759,6688.93294,9659.702601
0.6245227,6651.664189,9616.377075
0.629287723,6614.593516,9573.210978
0.634089102,6577.719929,9530.204118
0.638927115,6541.042439,9487.356299
0.643802041,6504.560061,9444.667323
0.648714162,6468.271816,9402.136983
0.653663762,6432.176728,9359.765073
0.658651126,6396.273825,9317.551377
0.663676544,6360.562138,9275.49568
0.668740305,6325.040704,9233.597758
0.673842702,6289.708564,9191.857388
0.678984029,6254.564762,9150.274338
0.684164584,6219.608346,9108.848376
0.689384666,6184.838368,9067.579262
0.694644576,6150.253886,9026.466756
0.699944619,6115.853959,8985.510612
0.7052851,6081.637653,8944.710581
0.710666328,6047.604036,8904.066408
0.716088615,6013.75218,8863.577839
0.721552273,5980.081162,8823.244611
0.727057617,5946.590063,8783.066462
0.732604967,5913.277967,8743.043123
0.738194642,5880.143963,8703.174324
0.743826966,5847.187144,8663.459789
0.749502264,5814.406606,8623.899241
0.755220863,5781.80145,8584.492399
0.760983094,5749.37078,8545.238978
0.766789291,5717.113704,8506.138691
0.772639788,5685.029335,8467.191247
0.778534923,5653.116789,8428.396351
0.784475038,5621.375187,8389.753706
0.790460475,5589.803651,8351.263013
0.79649158,5558.401312,8312.923968
0.802568701,5527.167299,8274.736265
0.80869219,5496.100749,8236.699595
0.8148624,5465.200803,8198.813647
0.821079688,5434.466602,8161.078105
0.827344414,5403.897295,8123.492653
0.833656938,5373.492032,8086.056971
0.840017626,5343.24997,8048.770736
0.846426845,5313.170266,8011.633622
0.852884965,5283.252083,7974.645303
0.859392361,5253.494589,7937.805446
0.865949406,5223.896952,7901.113721
0.872556481,5194.458348,7864.569791
0.879213967,5165.177953,7828.173319
0.885922249,5136.054951,7791.923965
0.892681714,5107.088525,7755.821387
0.899492753,5078.277866,7719.86524
0.906355759,5049.622165,7684.055178
0.913271129,5021.12062,7648.390851
0.920239263,4992.772432,7612.87191
0.927260562,4964.576803,7577.498
0.934335432,4936.532942,7542.268767
0.941464283,4908.64006,7507.183853
0.948647527,4880.897372,7472.242901
0.955885577,4853.304096,7437.445547
0.963178853,4825.859456,7402.791431
0.970527775,4798.562678,7368.280186
0.977932769,4771.41299,7333.911447
0.985394261,4744.409627,7299.684845
0.992912684,4717.551824,7265.600011
1.000488472,4690.838823,7231.656572
1.008122061,4664.269868,7197.854156
1.015813894,4637.844206,7164.192387
1.023564414,4611.561089,7130.670889
1.03137407,4585.419771,7097.289283
1.039243313,4559.41951,7064.047192
1.047172597,4533.559569,7030.944232
1.05516238,4507.839213,6997.980023
1.063213124,4482.25771,6965.154179
1.071325294,4456.814334,6932.466317
1.079499359,4431.508359,6899.916049
1.08773579,4406.339066,6867.502987
1.096035065,4381.305737,6835.226743
1.104397662,4356.407658,6803.086927
1.112824065,4331.644119,6771.083146
1.121314759,4307.014413,6739.215008
1.129870237,4282.517837,6707.48212
1.138490992,4258.153691,6675.884086
1.147177522,4233.921278,6644.420511
1.155930329,4209.819904,6613.090998
1.164749918,4185.848881,6581.895149
1.1736368,4162.007521,6550.832565
1.182591488,4138.29514,6519.902845
1.191614498,4114.711061,6489.105591
1.200706353,4091.254605,6458.440399
1.209867578,4067.925099,6427.906867
1.219098701,4044.721874,6397.504593
1.228400257,4021.644264,6367.233171
1.237772782,3998.691604,6337.092198
1.247216818,3975.863234,6307.081268
1.256732911,3953.158499,6277.199974
1.266321611,3930.576743,6247.44791
1.275983471,3908.117318,6217.824668
1.285719049,3885.779575,6188.32984
1.295528909,3863.562872,6158.963018
1.305413617,3841.466566,6129.723791
1.315373743,3819.490021,6100.61175
1.325409864,3797.632603,6071.626485
1.33552256,3775.893679,6042.767585
1.345712413,3754.272622,6014.034639
1.355980014,3732.768808,5985.427234
1.366325955,3711.381614,5956.944959
1.376750835,3690.110421,5928.587402
1.387255255,3668.954614,5900.354149
1.397839822,3647.913581,5872.244787
1.408505148,3626.986712,5844.258903
1.419251848,3606.173401,5816.396083
1.430080545,3585.473044,5788.655913
1.440991863,3564.885042,5761.037978
1.451986433,3544.408796,5733.541865
1.46306489,3524.043713,5706.167158
1.474227874,3503.789202,5678.913443
1.48547603,3483.644674,5651.780304
1.496810009,3463.609544,5624.767326
1.508230463,3443.68323,5597.874095
1.519738055,3423.865153,5571.100195
1.531333447,3404.154735,5544.44521
1.543017311,3384.551405,5517.908725
1.554790321,3365.05459,5491.490325
1.566653158,3345.663725,5465.189594
1.578606506,3326.378243,5439.006117
1.590651057,3307.197583,5412.939478
1.602787506,3288.121187,5386.989262
1.615016555,3269.148497,5361.155054
1.627338909,3250.278962,5335.436439
1.639755282,3231.51203,5309.833002
1.652266389,3212.847154,5284.344327
1.664872955,3194.283789,5258.97
1.677575707,3175.821393,5233.709607
1.690375379,3157.459427,5208.562733
1.703272711,3139.197356,5183.528963
1.716268448,3121.034644,5158.607885
1.72936334,3102.970761,5133.799084
1.742558145,3085.00518,5109.102147
1.755853624,3067.137375,5084.516661
1.769250546,3049.366822,5060.042213
1.782749685,3031.693003,5035.67839
1.79635182,3014.1154,5011.42478
1.810057738,2996.633498,4987.280971
1.82386823,2979.246786,4963.246553
1.837784094,2961.954754,4939.321112
1.851806134,2944.756896,4915.50424
1.86593516,2927.652708,4891.795525
1.880171989,2910.641688,4868.194558
1.894517443,2893.723338,4844.700928
1.908972351,2876.897162,4821.314228
1.923537548,2860.162667,4798.034048
1.938213875,2843.51936,4774.85998
1.953002181,2826.966755,4751.791617
1.967903319,2810.504365,4728.828552
1.982918152,2794.131707,4705.970378
1.998047545,2777.8483,4683.216688
2.013292373,2761.653667,4660.567078
2.028653517,2745.547331,4638.021142
2.044131865,2729.52882,4615.578477
2.05972831,2713.597663,4593.238677
2.075443754,2697.753391,4571.001341
2.091279105,2681.995539,4548.866065
2.107235278,2666.323644,4526.832447
2.123313193,2650.737244,4504.900086
2.139513781,2635.235882,4483.068582
2.155837978,2619.819102,4461.337534
2.172286725,2604.48645,4439.706542
2.188860975,2589.237474,4418.175209
2.205561683,2574.071727,4396.743136
2.222389816,2558.988762,4375.409925
2.239346345,2543.988134,4354.175181
2.25643225,2529.069403,4333.038507
2.273648518,2514.232129,4311.999507
2.290996144,2499.475874,4291.057788
2.30847613,2484.800205,4270.212956
2.326089486,2470.204689,4249.464618
2.343837229,2455.688897,4228.812382
2.361720385,2441.252399,4208.255855
2.379739987,2426.894771,4187.794649
2.397897076,2412.61559,4167.428372
2.416192702,2398.414435,4147.156636
2.43462792,2384.290888,4126.979052
2.453203797,2370.244531,4106.895234
2.471921405,2356.27495,4086.904794
2.490781826,2342.381734,4067.007347
2.509786149,2328.564473,4047.202509
2.528935472,2314.82276,4027.489894
2.548230903,2301.156188,4007.86912
2.567673555,2287.564355,3988.339804
2.587264551,2274.04686,3968.901566
2.607005024,2260.603303,3949.554025
2.626896114,2247.233289,3930.2968
2.646938971,2233.936422,3911.129513
2.667134752,2220.71231,3892.051787
2.687484624,2207.560563,3873.063244
2.707989762,2194.480792,3854.163509
2.728651352,2181.472612,3835.352206
2.749470587,2168.535637,3816.628961
2.77044867,2155.669486,3797.993402
2.791586813,2142.87378,3779.445155
2.812886237,2130.14814,3760.983849
2.834348172,2117.49219,3742.609114
2.85597386,2104.905556,3724.320581
2.877764548,2092.387868,3706.117881
2.899721496,2079.938754,3688.000647
2.921845973,2067.557847,3669.968512
2.944139256,2055.244782,3652.021111
2.966602635,2042.999194,3634.158078
2.989237405,2030.820721,3616.379052
3.012044876,2018.709005,3598.683669
3.035026365,2006.663686,3581.071567
3.058183199,1994.684409,3563.542386
3.081516717,1982.770819,3546.095768
3.105028266,1970.922565,3528.731352
3.128719205,1959.139297,3511.448781
3.152590903,1947.420665,3494.247701
3.176644739,1935.766324,3477.127753
3.200882102,1924.175929,3460.088586
3.225304392,1912.649137,3443.129844
3.249913022,1901.185608,3426.251176
3.274709412,1889.785003,3409.452231
3.299694995,1878.446984,3392.732658
3.324871214,1867.171216,3376.092108
3.350239525,1855.957366,3359.530233
3.375801393,1844.805102,3343.046686
3.401558293,1833.714095,3326.641122
3.427511716,1822.684015,3310.313194
3.45366316,1811.714538,3294.06256
3.480014135,1800.805339,3277.888876
3.506566165,1789.956095,3261.791801
3.533320783,1779.166484,3245.770995
3.560279536,1768.436189,3229.826116
3.587443979,1757.764891,3213.956828
3.614815684,1747.152276,3198.162793
3.642396231,1736.598028,3182.443675
3.670187214,1726.101836,3166.799137
3.698190239,1715.663389,3151.228847
3.726406922,1705.282378,3135.732471
3.754838895,1694.958497,3120.309676
3.7834878,1684.691439,3104.960134
3.812355292,1674.480902,3089.683513
3.84144304,1664.326582,3074.479484
3.870752722,1654.228181,3059.347721
3.900286034,1644.185397,3044.287898
3.930044681,1634.197936,3029.299687
3.960030382,1624.2655,3014.382766
3.99024487,1614.387797,2999.536812
4.02068989,1604.564533,2984.761501
4.051367202,1594.795419,2970.056514
4.082278577,1585.080164,2955.421531
4.113425802,1575.418482,2940.856232
4.144810676,1565.810087,2926.360301
4.176435012,1556.254694,2911.93342
4.208300637,1546.752021,2897.575275
4.240409393,1537.301786,2883.285551
4.272763134,1527.903709,2869.063936
4.30536373,1518.557513,2854.910116
4.338213064,1509.262921,2840.823782
4.371313034,1500.019657,2826.804623
4.404665552,1490.827448,2812.852331
4.438272545,1481.686023,2798.966599
4.472135955,1472.59511,2785.147119
4.506257738,1463.55444,2771.393587
4.540639866,1454.563746,2757.705698
4.575284324,1445.622761,2744.083149
4.610193115,1436.731222,2730.52564
4.645368255,1427.888864,2717.032867
4.680811777,1419.095426,2703.604533
4.716525728,1410.350648,2690.240338
4.752512172,1401.65427,2676.939984
4.788773187,1393.006036,2663.703177
4.825310868,1384.405689,2650.529619
4.862127327,1375.852974,2637.419018
4.899224691,1367.347639,2624.37108
4.936605103,1358.889432,2611.385513
4.974270721,1350.478101,2598.462027
5.012223724,1342.113398,2585.600331
5.050466302,1333.795076,2572.800138
5.089000667,1325.522887,2560.06116
5.127829043,1317.296588,2547.38311
5.166953674,1309.115933,2534.765704
5.206376821,1300.980682,2522.208657
5.246100761,1292.890593,2509.711687
5.286127789,1284.845427,2497.274511
5.326460218,1276.844944,2484.896849
5.367100378,1268.888909,2472.57842
5.408050617,1260.977085,2460.318948
5.4493133,1253.109239,2448.118153
5.490890812,1245.285136,2435.97576
5.532785555,1237.504546,2423.891494
5.574999948,1229.767238,2411.86508
5.617536432,1222.072982,2399.896246
5.660397464,1214.42155,2387.984719
5.703585519,1206.812717,2376.130228
5.747103093,1199.246255,2364.332505
5.7909527,1191.721942,2352.59128
5.835136874,1184.239554,2340.906285
5.879658167,1176.798868,2329.277255
5.924519151,1169.399666,2317.703923
5.969722418,1162.041727,2306.186026
6.01527058,1154.724833,2294.723301
6.061166269,1147.448768,2283.315485
6.107412135,1140.213315,2271.962317
6.154010851,1133.01826,2260.663538
6.200965108,1125.86339,2249.418888
6.24827762,1118.748492,2238.22811
6.29595112,1111.673356,2227.090946
6.343988362,1104.637771,2216.007143
6.392392122,1097.641529,2204.976444
6.441165196,1090.684423,2193.998596
6.490310402,1083.766245,2183.073347
6.539830579,1076.886791,2172.200446
6.589728588,1070.045857,2161.379643
6.640007312,1063.243239,2150.610687
6.690669656,1056.478735,2139.893331
6.741718546,1049.752145,2129.227328
6.793156933,1043.06327,2118.612432
6.844987787,1036.41191,2108.048398
6.897214104,1029.797868,2097.534982
6.9498389,1023.220947,2087.071941
7.002865216,1016.680952,2076.659032
7.056296116,1010.17769,2066.296017
7.110134686,1003.710966,2055.982653
7.164384037,997.280589,2045.718704
7.219047303,990.8863673,2035.503931
7.274127643,984.5281111,2025.338098
7.329628237,978.2056313,2015.220968
7.385552294,971.9187401,2005.152308
7.441903044,965.6672505,1995.131884
7.498683742,959.4509765,1985.159463
7.555897669,953.2697334,1975.234815
7.61354813,947.1233372,1965.357707
7.671638456,941.011605,1955.527912
7.730172004,934.9343551,1945.7452
7.789152155,928.8914065,1936.009345
7.848582316,922.8825794,1926.320119
7.908465921,916.9076948,1916.677298
7.96880643,910.966575,1907.080656
8.029607328,905.0590428,1897.529971
8.090872129,899.1849224,1888.025021
8.152604372,893.3440387,1878.565583
8.214807624,887.5362177,1869.151438
8.277485478,881.7612862,1859.782365
8.340641555,876.0190722,1850.458148
8.404279504,870.3094044,1841.178567
8.468403003,864.6321125,1831.943408
8.533015754,858.9870272,1822.752453
8.598121493,853.3739799,1813.60549
8.663723979,847.7928033,1804.502304
8.729827002,842.2433307,1795.442683
8.796434383,836.7253964,1786.426415
8.86354997,831.2388356,1777.45329
8.931177638,825.7834844,1768.523098
8.999321297,820.3591798,1759.635631
9.067984882,814.9657597,1750.79068
9.137172362,809.6030629,1741.98804
9.206887732,804.2709289,1733.227504
9.27713502,798.9691983,1724.508867
9.347918286,793.6977126,1715.831926
9.419241619,788.4563138,1707.196477
9.491109139,783.2448451,1698.60232
9.563524998,778.0631504,1690.049251
9.63649338,772.9110746,1681.537073
9.710018501,767.7884632,1673.065585
9.784104608,762.6951627,1664.634588
9.858755983,757.6310204,1656.243887
9.933976937,752.5958845,1647.893284
10.00977182,747.5896037,1639.582584
10.086145,742.6120281,1631.311592
10.1631009,737.663008,1623.080115
10.24064397,732.7423948,1614.88796
10.31877867,727.8500408,1606.734936
10.39750954,722.9857989,1598.62085
10.47684111,718.1495228,1590.545514
10.55677796,713.3410672,1582.508738
10.63732473,708.5602873,1574.510334
10.71848606,703.8070393,1566.550115
10.80026663,699.08118,1558.627894
10.88267118,694.3825671,1550.743485
10.96570447,689.7110591,1542.896705
11.04937129,685.0665151,1535.087369
11.13367647,680.448795,1527.315295
11.2186249,675.8577595,1519.5803
11.30422146,671.2932701,1511.882204
11.39047112,666.7551889,1504.220825
11.47737885,662.2433789,1496.595986
11.56494968,657.7577037,1489.007506
11.65318865,653.2980276,1481.455209
11.74210088,648.8642158,1473.938918
11.8316915,644.456134,1466.458456
11.92196568,640.0736489,1459.01365
12.01292864,635.7166277,1451.604323
12.10458564,631.3849382,1444.230304
12.19694196,627.0784492,1436.89142
12.29000295,622.7970301,1429.587498
12.38377399,618.5405508,1422.318368
12.47826048,614.3088821,1415.08386
12.5734679,610.1018955,1407.883804
12.66940173,605.919463,1400.718033
12.76606752,601.7614574,1393.586378
12.86347087,597.6277522,1386.488674
12.96161738,593.5182216,1379.424754
13.06051274,589.4327402,1372.394452
13.16016266,585.3711837,1365.397605
13.26057289,581.333428,1358.43405
13.36174924,577.31935,1351.503623
13.46369756,573.328827,1344.606162
13.56642372,569.3617373,1337.741507
13.66993367,565.4179593,1330.909497
13.77423338,561.4973726,1324.109974
13.87932889,557.5998571,1317.342777
13.98522627,553.7252933,1310.607749
14.09193162,549.8735626,1303.904734
14.19945112,546.0445468,1297.233574
14.30779099,542.2381283,1290.594115
14.41695747,538.4541904,1283.9862
14.52695687,534.6926166,1277.409678
14.63779556,530.9532913,1270.864393
14.74947993,527.2360995,1264.350194
14.86201643,523.5409266,1257.866929
14.97541158,519.8676587,1251.414447
15.08967191,516.2161826,1244.992598
15.20480403,512.5863857,1238.601232
15.3208146,508.9781556,1232.2402
15.43771031,505.3913811,1225.909356
15.55549792,501.825951,1219.608551
15.67418423,498.281755,1213.337639
15.79377611,494.7586834,1207.096474
15.91428045,491.2566269,1200.884912
16.03570422,487.7754768,1194.702808
16.15805444,484.315125,1188.550018
16.28133818,480.875464,1182.4264
16.40556255,477.4563867,1176.331812
16.53073474,474.0577869,1170.266112
16.65686198,470.6795585,1164.22916
16.78395155,467.3215962,1158.220816
16.91201079,463.9837952,1152.24094
17.04104711,460.6660513,1146.289394
17.17106796,457.3682607,1140.366041
17.30208085,454.0903202,1134.470742
17.43409335,450.8321271,1128.603363
17.56711309,447.5935794,1122.763767
17.70114775,444.3745754,1116.951818
17.83620507,441.175014,1111.167384
17.97229287,437.9947946,1105.410329
18.10941899,434.8338171,1099.680522
18.24759137,431.691982,1093.97783
18.38681799,428.5691902,1088.302121
18.52710689,425.4653432,1082.653264
18.66846617,422.380343,1077.03113
18.810904,419.3140918,1071.435588
18.95442861,416.2664928,1065.86651
19.0990483,413.2374494,1060.323768
19.24477141,410.2268654,1054.807233
19.39160638,407.2346452,1049.31678
19.53956167,404.2606938,1043.852281
19.68864584,401.3049166,1038.413611
19.83886751,398.3672193,1033.000646
19.99023534,395.4475083,1027.61326
20.14275809,392.5456904,1022.251331
20.29644457,389.6616728,1016.914735
20.45130365,386.7953633,1011.603349
20.60734429,383.94667,1006.317053
20.7645755,381.1155017,1001.055724
20.92300635,378.3017673,995.8192433
21.08264602,375.5053765,990.6074897
21.24350371,372.7262393,985.4203444
21.40558873,369.9642661,980.2576887
21.56891043,367.2193678,975.1194047
21.73347825,364.4914558,970.0053749
21.89930171,361.7804418,964.9154826
22.06639037,359.0862382,959.8496116
22.2347539,356.4087574,954.8076463
22.40440202,353.7479127,949.7894718
22.57534453,351.1036176,944.7949737
22.74759131,348.475786,939.8240383
22.9211523,345.8643322,934.8765523
23.09603755,343.2691712,929.9524033
23.27225714,340.690218,925.0514791
23.44982127,338.1273884,920.1736685
23.62874018,335.5805983,915.3188607
23.80902422,333.0497642,910.4869453
23.99068381,330.5348031,905.6778127
24.17372943,328.0356322,900.8913539
24.35817167,325.5521691,896.1274603
24.54402117,323.0843319,891.386024
24.73128868,320.6320392,886.6669377
24.91998502,318.1952098,881.9700945
25.11012108,315.7737629,877.2953883
25.30170785,313.3676184,872.6427133
25.49475641,310.9766961,868.0119644
25.6892779,308.6009166,863.403037
25.88528356,306.2402007,858.8158272
26.08278472,303.8944696,854.2502315
26.28179278,301.5636448,849.7061469
26.48231925,299.2476485,845.1834711
26.68437571,296.9464029,840.6821023
26.88797383,294.6598308,836.2019391
27.09312538,292.3878552,831.7428808
27.29984221,290.1303996,827.3048272
27.50813625,287.8873879,822.8876786
27.71801955,285.6587442,818.4913358
27.92950423,283.4443932,814.1157002
28.14260252,281.2442597,809.7606736
28.35732671,279.058269,805.4261585
28.57368922,276.8863468,801.1120579
28.79170254,274.7284191,796.818275
29.01137928,272.5844122,792.5447139
29.23273211,270.4542528,788.2912791
29.45577385,268.337868,784.0578755
29.68051735,266.2351851,779.8444086
29.90697562,264.1461319,775.6507844
30.13516174,262.0706365,771.4769093
30.36508889,260.0086273,767.3226904
30.59677034,257.960033,763.188035
30.8302195,255.9247828,759.0728512
31.06544984,253.902806,754.9770474
31.30247495,251.8940325,750.9005326
31.54130854,249.8983924,746.8432161
31.78196439,247.9158159,742.805008
32.02445641,245.946234,738.7858185
32.26879862,243.9895777,734.7855586
32.51500512,242.0457783,730.8041396
32.76309014,240.1147676,726.8414734
33.01306802,238.1964776,722.8974721
33.26495319,236.2908407,718.9720486
33.51876022,234.3977895,715.0651162
33.77450375,232.517257,711.1765884
34.03219858,230.6491765,707.3063794
34.29185958,228.7934817,703.4544039
34.55350176,226.9501064,699.6205768
34.81714023,225.1189848,695.8048138
35.08279023,223.3000515,692.0070308
35.3504671,221.4932412,688.2271443
35.62018631,219.6984892,684.465071
35.89196344,217.9157308,680.7207283
36.16581419,216.1449018,676.9940339
36.44175438,214.3859382,673.2849061
